,text
24306,"What happened in Flint should have never happened, and financial compensation with this settlement is just one of the many ways we can continue to show our support for the city of Flint and its families. 

Full statement: https://michigan.gov/whitmer/0,9309,7-387-90499_90640-537245--,00.html…"
24307,"From our first month in office, Attorney General Nessel and I made it clear to our teams that even though we inherited this situation, it was our responsibility to achieve the best possible settlement for the children and families of Flint – as soon as we could."
24308,"Today, 
@MIAttyGen
 and I announced that the State of Michigan agreed to a $600 million settlement of the civil lawsuits brought against the State of Michigan by Flint residents after the water supply for the City of Flint was switched to the Flint River on April 25, 2014."
24309,"President Trump’s attacks on the U.S. Postal Service are deeply disturbing. 
@MIAttyGen
, 
@MichSoS
, and I will do everything in our power to mitigate their effect and protect Michiganders, which is why we joined a lawsuit to fight the unlawful changes to 
@USPS
 operations."
24310,"President Trump’s attempts to sabotage the Postal Service are deeply disturbing. Americans rely on our Postal Service for prescriptions, voting, social security checks, and more. The 
@USPS
 needs to be fully funded, full stop."
24311,"Eagle: 1
EGLE: 0"
24312,"Community behavioral health care is vital, now more than ever, and this is a major step forward for Michigan families in need of help during the #COVID19 pandemic. Grateful for 
@SenStabenow
’s leadership on this important issue."
24313,"Michigan is home to the largest Lebanese community in the US, and Beirut’s devastating explosion has left many scared for their loved ones.

I stand with my friends who are calling for relief and assistance to be quickly deployed to the people of Lebanon."
24314,"I will continue to use every tool at my disposal to protect Michiganders from the spread of this virus. Please, wear a mask, practice safe physical distancing, and do everything in your power to fight COVID-19.

Read more: https://michigan.gov/whitmer/0,9309,7-387-90499_90640---,00.html…"
24315,"These protections will help to slow the spread of the virus and save lives, but we still need the federal government to work together in a bipartisan way to expand unemployment benefits and provide support for our workers and their families."
24316,"Today, I extended our Declaration of Emergency and reinstated protections for Michigan workers as we continue to fight the COVID-19 pandemic. It’s vital that employees know that they can stay home if they, or someone they’ve been in contact with, is sick."
24317,#MaskUpMichigan
24318,"Wishing my friend 
@GovMikeDeWine
 good health and a speedy recovery."
24319,"We have a lot of work to do, but these are important steps on the path to building an inclusive state that works for everyone.

Read more: https://michigan.gov/whitmer/0,9309,7-387-90499_90640-535762--,00.html…"
24320,"The Council, consisting of Black leadership in economics, public policy, health, technology, environment, agriculture, arts and culture, will develop, review, and recommend policies and actions designed to eradicate and prevent discrimination and racial inequity in Michigan."
24321,"Today, I declared racism to be a public health crisis in Michigan and created the Black Leadership Advisory Council.

#COVID19 has highlighted what Black & Brown communities have always known — inequities caused by systemic racism can be deadly. 

We’re confronting this head on."
24322,"Happy #ElectionDay!

Polls are open today from 7AM - 8PM. Find your polling place at http://michigan.gov/vote.

If you still have your absentee ballot, return it at your local clerk’s office or your ballot drop box: https://michigan.gov/documents/sos/Ballot_Dropbox_Locations_697191_7.pdf…"
24323,"Election workers, who will work tirelessly to follow health guidelines and best practices to keep all staff & voters safe, are pivotal to the success of our upcoming elections.
If you’re a Michigan voter looking to do your part, learn more & sign up at http://Michigan.gov/DemocracyMVP."
24324,Eid Mubarak to all who are celebrating! May you have a blessed and peaceful day.
24325,"Take a moment to read this breathtaking final essay from Representative John Lewis, the man who taught us how to make #GoodTrouble.

“Though I am gone, I urge you to answer the highest calling of your heart and stand up for what you truly believe.”"
24326,"Full statement: https://michigan.gov/whitmer/0,9309,7-387-90499_90640-535194--,00.html…"
24327,"If we could hold an election in 1864 in the midst of a Civil War, we can and will hold one in 2020. It’s time for the president to get his priorities straight and work with Congress on a recovery package that protects our families, frontline workers, and small business owners."
24328,"The health of our communities and economy depends on each of us doing our part. Please, practice social distancing, wear a mask, and encourage those around you to do the same.

Read more: https://michigan.gov/whitmer/0,9309,7-387-90499_90640-535163--,00.html…"
24329,"I’ve said this from the start — these are difficult decisions, but I will do what is necessary to protect the brave men and women on the front lines, avoid overwhelming our healthcare system, and save lives."
24330,"Tonight, after an uptick of #COVID19 cases due to social gatherings, I amended Michigan’s Safe Start Order & issued revised workplace safeguards. As of July 31st, statewide indoor gatherings will be limited to 10 people & bars will be closed for indoor service across the state."
24331,"This is Doug. Doug is technically wearing a mask, but because he is wearing it incorrectly, it does nothing to protect himself, his family, or his community from #COVID19. 

Don’t be like Doug. 

Wear a mask — over your mouth AND nose."
24332,"Last year, I directed 
@MichiganEGLE
 to issue rules to protect our water from dangerous levels of PFAS. Yesterday, they were finalized. Michigan is now leading our nation in fighting PFAS by setting our own science-based drinking water standard."
24333,"Be sure to tune in at 1PM as 
@MiCivilRights
 commemorates the 30th Anniversary of the Americans with Disabilities Act. #ADA30
Streaming information below "
24334,"Thanks for the nomination, 
@LtGovGilchrist
! Wearing a mask isn’t about politics, it’s about saving lives. 

The Challenge: Post a photo of yourself wearing a mask, and nominate someone else to do the same.

I nominate 
@realDonaldTrump
.
#MaskUpAmerica"
24335,"I’m grateful to 
@GovMikeDeWine
 for joining Michigan in a statewide mask mandate. This policy will save lives, plain and simple."
24336,"To protect our families from this virus, we need the Trump administration to issue a federal mask mandate. If more Americans wear a mask in public, we can save lives and put ourselves in a better position to send our children back to school.
Read more:"
24337,In case you need a reminder — wearing a mask works. #MaskUpMichigan
24338,"Full statement: https://michigan.gov/whitmer/0,9309,7-387-90499_90640-534432--,00.html…"
24339,"If the President actually wants to help the people of Michigan, he can start by picking up the phone and telling Mitch McConnell to pass the HEROES Act, so we can provide immediate relief to Michigan's families, schools, and small businesses."
24340,"Today, President Trump threatened to send federal law enforcement into many cities, including Detroit. Frankly, he doesn't know the first thing about Detroit. If he did, he’d know Detroiters gathered to peacefully protest the systemic racism that Black Americans face every day."
24341,Heartbroken to hear about the death of Representative John Lewis. There was no better example of heroism and patriotism. The good trouble will continue because of the man who showed us how it’s done.
24342,"Glad that 
@MIAttyGen
 joined this lawsuit to call on Betsy Devos to protect student borrowers who have been robbed by for-profit institutions."
24343,"“There’s a common refrain that masks don’t protect you; they protect others from your germs, which is important to keep unknowingly infected people from spreading #COVID19. But now, there’s mounting evidence that masks also protect you.” #MaskUpMichigan"
24344,"I had a great time getting my hands dirty (or clean!) at 
@americanfifth
 making hand sanitizer for businesses and people across Michigan! I am so grateful to see business like them stepping up to help fight COVID-19."
24345,I don’t care what’s on your mask. I just care that it’s on your face. 
24346,"I want to personally thank 
@RHCJO
, 
@JoEmbassyUS
, and 
@AmbKawar
 for their generous donation of PPE to the State of Michigan. This donation is a reflection on the strength of our long-standing relationship and will help replenish depleted supplies of PPE for our frontliners."
24347,"Members of the National Guard have been vital to our fight against COVID-19, and our fight isn’t over yet. Today, I sent a letter to 
@realDonaldTrump
 requesting the help of the 
@MINationalGuard
 until the end of 2020. Their work will be essential to testing, distribution and more."
24348,"By wearing masks, we can save lives and protect our family, friends, and neighbors from the spread of COVID-19. And by wearing masks now, we can put our state in a stronger position so our kids can return to school safely in the fall. Let’s #maskupmichigan"
24349,"The heroes on the front lines of this crisis have gone hours without taking their masks off every day – doctors, nurses, child care workers, grocery store workers. We owe it to them to wear our masks when we’re on a trip to the grocery store or pharmacy."
24350,"Today, I signed executive order 2020-147, which requires the use of face coverings in crowded outdoor spaces. The order also requires any business that is open to the public to refuse entry or service to people who refuse to wear a face covering, with limited exceptions."
24351,"Today, the President approved my request to declare a major disaster area for mid-Michigan counties affected by severe flooding & dam failures. I’m inspired by the Michiganders who helped one another, & this is an important step in our efforts to help them recover & rebuild."
24352,"I want to make this clear — I will not send our kids and our education workforce into our schools unless it is safe to do so, plain and simple. I have made decisions based on science and facts to keep Michiganders safe since the beginning, and won’t stop now."
24353,"Read more: https://michigan.gov/whitmer/0,9309,7-387-90499_90640-533836--,00.html…"
24354,"Our health care frontliners have been heroes during the #COVID19 pandemic. This evidence-based training, to improve racial equity across health care, will help ensure every Michigander can access the extraordinary care our frontliners provide."
24355,"Today, I signed an Executive Directive that requires 
@michiganLARA
 to develop rules that will require implicit bias training as part of the knowledge and skills necessary for licensure, registration and renewal of licenses and registrations of health professionals in Michigan."
24356,"Let me reiterate this: if 95% of the U.S. population wears a mask in public, we will save more than 45,000 lives.

Wear a mask. Save lives. #MaskUpMichigan"
24357,"This is wrong. 

Your employer’s opinions should not be able to interfere with your personal health care decisions."
24358,"Reminder: We are in the middle of a global pandemic. If we are careless, Michigan could suffer the same fate. Our frontliners put their lives on the line, and we owe it to them to do everything in our power to ensure they do not face impossible choices like this."
24359,"Wanted to take a moment to wish you a happy Fourth of July weekend. As we celebrate, please remember that, while we might get to take a break, COVID-19 does not. For the sake of the extraordinary country we love and call home, be safe, be smart, and #RecreateResponsibly."
24360,"Read more: https://michigan.gov/whitmer/0,9309,7-387-90499_90640-533436--,00.html…"
24361,"After recent COVID-19 outbreaks tied to bars, we had to take action to slow the spread & keep people safe. If we want to be in a strong position to reopen schools for this fall, we must take aggressive action now to ensure we don’t wipe out all the progress we have made."
24362,"Regions 6 & 8 are excluded from the order.
Bars statewide can continue to serve outdoors.
The order applies to those with on-premises retailer liquor licenses that earn more than 70% of gross receipts from alcohol sales, so most brewpubs/distilleries can stay open indoors."
24363,"Today, I closed indoor service at bars throughout most of lower Michigan to protect the progress our state has made against COVID-19. I also signed bills that will allow cocktails-to-go at bars & restaurants to help these businesses serve more Michiganders.

Details "
24364,"If we want to set our kids up for success this fall, we must do everything in our power to mitigate the spread of COVID-19, and that means wearing a mask. Take it from one of our state’s extraordinary educators
 #MaskUpMichigan"
24365,"What the upcoming school year will be like for our kids depends on each of us doing our part to flatten the COVID-19 curve. Please, continue to stay smart, stay safe, and take every recommended precaution so that our children can be safe in their classrooms this fall."
24366,"Our educators and parents have shown extraordinary leadership during the COVID-19 pandemic. While there are unknowns about the future of COVID-19 in Michigan, this plan provides the guidance, support, and clarity that is needed to safely bring students back to the classroom."
24367,"Today, I signed an executive order and released the MI Safe Schools Roadmap to provide a structure to support schools in Michigan as they plan for a return of K-12 education this fall. The executive order and the MI Safe Schools Roadmap are available at http://Michigan.gov/Coronavirus."
24368,"Read more: https://michigan.gov/whitmer/0,9309,7-387-90499_90640-533252--,00.html…"
24369,"I’m committed to honoring the work of our predecessors who outlined in law the vision of what we continue to strive for. We must hold up those who worked to build a better Michigan for all, regardless of race, religion, national origin, sexual orientation, and gender identity."
24370,"Today, I renamed the Lewis Cass Building in Lansing to the “Elliott-Larsen Building,” honoring the legislators who sponsored Michigan’s landmark civil rights act. This is the first time in our state’s history that a state building is named after an African-American woman."
24371,"BUDGET UPDATE: Today, the Senate Majority Leader, House Speaker, and I reached a bipartisan budget agreement that provides crucial funding for Michigan schools, families, & communities grappling with costs incurred as a result of COVID-19. Full statement: https://michigan.gov/whitmer/0,9309,7-387-90499_90640-533191--,00.html…"
24372,"Today, SCOTUS ruled in favor of reproductive rights, striking down a TRAP law that would have left Louisiana with only one doctor to provide abortions. This is a win, but we must continue working to ensure that everyone is able to access the reproductive health care they need."
24373,"This thread is incredibly important.
@JeremyAllenMoss
, I’m deeply grateful for your courage, tenacity, and advocacy. Our state is better for it. #RecognizeMIPride "
24374,"Michiganders know better, but let's share for those who don't call our state home — what do you love about Detroit?"
24375,What they said 
24376,Art Miller was truly one of my favorite people. He was generous with his time & offered counsel (often with a funny remark). He understood people & knew how to get things done. My thoughts are with the Miller family — the thing in his remarkable life of which he was most proud.
24377,"Our country is seeing an alarming rise in #COVID19 cases.

Our frontline workers put their lives on the line to protect our communities. We cannot have come this far only to allow a second wave of this devastating virus.

Be vigilant. Be smart. Be safe.

http://Michigan.gov/Coronavirus"
24378,"Today, 
@MIAttyGen
’s motion for a temporary restraining order to shut down Line 5 immediately was granted. Enbridge’s decision to continue pumping crude oil through the Straits of Mackinac with so many unanswered questions was unacceptable, and I applaud the court’s decision."
24379,"This is the leadership we need from our local businesses right now. (Anybody else craving a Crunchy’s burger? 
) #MaskUpMichigan"
24380,"Wear 
 a 
 mask 
That’s it, that’s the tweet. Pass it on.
#MaskUpMichigan"
24381,"It is on each of us to prevent a second wave. Be smart. Be safe. To find a testing site near you, visit http://Michigan.gov/CoronavirusTest."
24382,"The #COVID19 pandemic has been an extraordinarily difficult time. I know that we all want to return to life as it was before, but we owe it to our front line workers to stay the course.

Be smart, be safe, & continue following social distancing guidelines."
24383,"Rep. Koleszar has been a tremendous ally and advocate to the small business community, and this is just the beginning. Grateful for your commitment to working directly with local business leaders to find solutions, 
@koleszar_matt
!"
24384,"He’s been on my side since day one. My friend, my cheerleader, my Dad. Wishing a Happy Father’s Day to Dads and Father Figures everywhere! #FathersDay"
24385,"Today, I had the honor of speaking to 64 
@MINationalGuard
 Soldiers before deployment. Their dedication, especially in these difficult times, leaves me with a tremendous sense of respect and gratitude that they belong to our Michigan National Guard."
24386,"This #Juneteenth, we are reminded that, while we have made progress in our country, we still have a lot of work to do to address the inequities that Black Americans face every day. I look forward to working with all of you as we continue to enact change together."
24387,"If you ordered from Lafayette Coney Island today, your food may have been prepared by a familiar face 
 Had a blast learning the ropes from Lafayette’s incredible staff, and was thrilled to see how Michigan businesses are ensuring the safety of their employees and customers."
24388,"The Supreme Court’s ruling made clear what we already knew — Dreamers belong here. I applaud the Court’s decision, which impacts 5,350 young immigrants, their families, and our communities in Michigan. #HomeIsHere"
24389,"In honor of Aimee, take today to celebrate this victory, and tomorrow, let’s continue fighting to ensure equality for all Michiganders.

Full statement: https://michigan.gov/whitmer/0,9309,7-387-90499_90640-531880--,00.html…"
24390,There is still more work to do. We must continue fighting to expand the Elliott-Larsen Civil Rights Act to protect members of the LGBTQ+ community and make Michigan a state where more people want to move to for opportunity.
24391,"This is good news for the countless LGBTQ+ Michiganders who have been fighting for equality for decades, and would not have been possible if not for one of the plaintiffs, Aimee Stephens, a brave Michigander who fought for transgender rights until the day she died."
24392,"Today, in a landmark ruling, #SCOTUS confirmed what we already know – that nobody deserves to lose their job because of who they are or how they identify."
24393,"This is very good news. That being said, we owe it to our heroes on the front lines to keep doing our part by wearing a mask when in public and practicing social distancing. 

Stay the course. It’s working. We’re going to get through this together."
24394,"A new report from the Imperial College COVID-19 Response Team shows that very few states dropped their #COVID19 infection rate as low for as long as Michigan has.

This means that Michiganders who have done their part to slow the spread have, without a doubt, saved lives."
24395,"This #PrideMonth, I’m reminded of what we’ve learned from our LGBTQ+ community:
You’ve taught us to be brave.
You’ve taught us to find joy during difficult times.
You’ve taught us to stand up for what is right.
I’m proud to be your ally, and, as always, I’ve got your back."
24396,"As a survivor and a mother, it pains me to see how these new rules will water down Title IX protections for our students, which is why I am partnering with 
@dananessel
 in defending Title IX.
Read the full statement below "
24397,"Today, we marched.

For George.
For Ahmaud.
For Breonna.

I will never be able to fully understand the pain that Black and Brown communities are forced to bear, but I will spend my life fighting for the justice and peace that everyone deserves."
24398,"The passage of Senate Bill 945 is a positive and necessary step towards addressing the inequities Black Michiganders face daily. 
@JeffMIrwin
, thank you for your leadership on this vital issue."
24399,"Read more: https://michigan.gov/whitmer/0,9309,7-387-90499-530918--,00.html…"
24400,"These are positive steps, but until Black mothers share the same set of concerns as White mothers when their kids leave their homes, we have work to do. All Michiganders have the right to be treated with dignity & respect by law enforcement, and I’m determined to see it through."
24401,"I also called on our Legislature to act on Senator Irwin’s bill, SB 945. Under this bill, incoming law enforcement officers would be required by law to go through training on implicit bias, de-escalation techniques, and mental health screenings."
24402,"Today, I requested that the Michigan Commission of Law Enforcement Standards provide guidance to law enforcement agencies on continuing education, including diversity and implicit bias training, and urging law enforcement agencies to implement duty to intervene polices."
24403,"[THREAD] The deaths of George Floyd, Ahmaud Arbery, and Breonna Taylor were a result of hundreds of years of inequity and institutional racism. I am horrified, heartbroken, and taking action "
24404,Fighting the coronavirus isn’t only a matter of public health. It is a matter of civil rights.
24405,I will be testifying before the Subcommittee on Oversight and Investigations about our administration’s response to the COVID-19 pandemic at 11:30AM. Tune in:
24406,"To those who have taken to the streets to peacefully protest the structural inequities Black Americans face every day - I’m with you.

Tonight, I urge you to stay home and stay safe. Tomorrow, find a peaceful protest to join and make your voice heard."
24407,"Let us heed the powerful words of President Obama today to ‘channel our justifiable anger into peaceful, sustained, and effective action.’"
24408,"This is a moment that calls for empathy, humanity, and unity. We must remember our enemy is racial injustice, not one another. It’s time for all of us to pull together and do the hard work of building a nation that works for everyone."
24409,"Then, I joined a call with my fellow governors and the current president. 

President Trump told governors to ‘put it down’ or we would be ‘overridden.’ He said governors should ‘dominate’ protesters, ‘or you’ll look like a bunch of jerks.’
 
We MUST reject this way of thinking."
24410,"[THREAD] This morning I took a few moments to read a powerful essay written by our former president, 
@BarackObama
, about how we can make this moment a turning point for real change in our country. I felt hopeful and inspired in a way that I haven’t felt in a long time."
24411,"Yesterday, Michigan Sheriff Chris Swanson set an example for law enforcement across the nation. I’m grateful for his leadership, and hope to see many more follow his lead."
24412,"To the good people of Michigan: we see you. We hear you. Your voice is what drives change now and always.

All of us must be the relief. We must organize. We must speak truth to power. We will get through this together."
24413,People in communities of color across the nation and right here in Michigan are feeling a sense of exhaustion and desperation. We stand in solidarity with those who are seeking equitable justice for everyone in our state. Full statement below 
24414,"Today, I issued the following statement in response to the U.S. Department of Justice issuing a statement of interest, which seeks to undermine the health and safety of Michigan residents.
Read more below "
24415,"We have to hold those who are perpetuating these abhorrent actions accountable, and in the case of George Floyd, that means charging all four officers who were involved. As governor, injustice and unequal treatment under the law will not be tolerated in our state."
24416,"As Americans, we have to stand up for what’s right. The killing of George Floyd, and the deaths of people like Ahmaud Arbery, Trayvon Martin and Renisha McBride are not isolated incidents. They are victims of a systemic cycle of injustice in our country."
24417,The events of the last couple of weeks have really sent a clear message that black lives are under threat every single day. We cannot live in a society and a country where our rights and dignity are not equal for everyone.
24418,"Today, we remember and honor those who made the ultimate sacrifice while serving our nation. We are able to live in the land of the free because of their courage and devotion. #MemorialDay"
24419,Eid-al-Fitr Mubarak to all who are celebrating. Please be safe and smart when gathering in groups of 10 or less to pray and be with loved ones. Have a blessed weekend!
24420,"Couldn’t have said it better myself 
 #MaskUpMichigan"
24421,"We wanted to make it simple for you and your family to find creative ways to celebrate Memorial Day at home, so, naturally, we went to Pinterest! Find ideas for games, crafts, grilling and more "
24422,"We know that this year’s Memorial Day weekend will look a bit different than before, but there are still plenty of ways to enjoy the holiday weekend and honor those who died in military service while keeping our communities safe."
24423,"It feels like the perfect moment to remind 
@dananessel
 and 
@JocelynBenson
 how grateful I am for their dedication and hard work, and how proud I am to serve our state with them. These women from Michigan are the best of the best!"
24424,"I will continue to do what I’ve always done: take careful, decisive actions to protect Michiganders from this unprecedented, global pandemic. We owe it to our front line heroes who have been putting their lives on the line to pull together as a state and work as one team."
24425,"Today, I joined volunteers and dedicated educators at Lansing School District to hand out food and supplies to local families. It was inspiring to see Michiganders #DoingMIPart to help one another during this tough time."
24426,"Because of every person who did their part to slow the spread of #COVID19, the data shows that Michigan is ready for this step. Stay smart, stay safe, and continue to do your part to protect our communities. We’re getting through this together."
24427,"Today, I signed executive orders to  safely reengage MI’s economy that: 
Reopen auto dealerships and retail businesses by appointment only.
Authorize nonessential medical, dental and veterinary procedures.
Allows gatherings of 10 people or less, with social distancing."
24428,Join us live from Midland High School for an update on the flooding caused by dam breaches in Midland County 
24429,I will issue an emergency declaration tonight to ensure officials have the resources they need to respond to the Edenville Dam collapse. The State Emergency Operations Center is activated & fully engaged in the response. We’ll share additional information as it becomes available.
24430,"Michigan now has more than 250 COVID-19 testing locations. Those with mild symptoms and those who leave home for work, whether they have symptoms or not, are eligible for a test. Contact a testing site near you 
https://michigan.gov/coronavirus/0,9753,7-406-98189---,00.html…"
24431,"Read more: https://michigan.gov/whitmer/0,9309,7-387-90499_90640-529478--,00.html…"
24432,"If you’re in the UP or Traverse City area and choose to go out to a restaurant or store, please continue to do everything in your power to protect yourself from this virus. Our ability to move forward in other regions depends on each of us staying smart and staying safe."
24433,"Today, I signed an Executive Order that loosens some restrictions in MERC Regions 6 & 8 (Upper Peninsula & Traverse City areas). Starting this Friday, these regions can reopen:
Retail stores
Restaurants/bars with limited seating
Office work that cannot be done remotely."
24434,"On Friday, I signed an Executive Order to create the Return to Learn Advisory Council. The council will provide recommendations on how to safely, equitably, and efficiently return to school in the fall. If you’d like to serve on the council, apply at: https://michigan.gov/whitmer/0,9309,7-387-90501---,00.html…"
24435,".
@MichelleObama
 surprised 
@MTV
 @WhenWeAllVote
 #PromChallenge winners to announce #MTVPromathon, a night to celebrate the Class of 2020! I’m thrilled that two 
@Detroitk12
 schools are among the winners. Learn more at"
24436,"Grateful to 
@CocaColaCo
, 
@MakeItLabs
 and 
@MakersRespond
 for their donation of 65,000 plastic face shields to the state of Michigan to help protect those on the frontlines, and to the 
@BoydCorporation
 for the critical role played in the development of this essential PPE."
24437,"Every student, no matter where they come from, has a birthright to a quality public education. Today’s settlement is a good start, but there’s more work to do. I remain committed to ensuring paths to literacy for students across the state. Read more: https://michigan.gov/whitmer/0,9309,7-387-90499_90640-529231--,00.html…"
24438,"Heartbroken to hear that former MEA President Steven Cook passed away. He was a lifelong advocate for teachers and students, and was the first paraprofessional to head the union. He will be dearly missed, and my heart is with his loved ones during this difficult time."
24439,"Reminder for Michiganders: Our testing capacity for #COVIDー19 has expanded. Those with mild symptoms and essential workers still reporting to work in person, whether they have symptoms or not, can find testing. Contact a testing site near you at http://Michigan.gov/CoronavirusTest"
24440,"Mo was a dear friend. He was a proud Detroiter and continued the family commitment to the service of his community. There was not a more loyal friend, thoughtful advisor or quicker wit. My love and prayers go to his beloved family and many friends who grieve this tough loss."
24441,"Extraordinarily grateful to 
@rihanna
, her 
@ClaraLionelFdn
, and 
@jack
’s Start Small Fund for donating $3.2 million to help groups in Detroit and Flint on the frontlines of the COVID-19 pandemic."
24442,"Wishing a Happy #MothersDay to all of the moms and mother figures! I know this year’s celebration will likely look a bit different, but please know that we are grateful for you and all that you do for your families and our communities."
24443,"To read the full MI Safe Start plan, visit: https://michigan.gov/documents/whitmer/MI_SAFE_START_PLAN_689875_7.pdf…"
24444,"I know that this has been a nerve wracking time, and that we’re eager to get back to our usual lives. I am, too. But, I’ll be frank — this virus doesn’t take our feelings into consideration. We have to stay steady, let the facts and science guide us, and do our part."
24445,"How do we know what phase we’re in? We’ll join public health experts in evaluating the best available data to assess the degree of risk & readiness, while factoring in the on-the-ground reality.

In short, we’ll continue to make decisions based on facts and data. Nothing less."
24446,"So, here’s the plan: we’re going to evaluate where the state and each of its regions are across 6 phases of the pandemic:

1. Uncontrolled growth
2. Persistent spread
3. Flattening
4. Improving
5. Containing 
6. Post-pandemic

Full criteria for each stage: https://michigan.gov/documents/whitmer/MI_SAFE_START_PLAN_689875_7.pdf…"
24447,"We know the importance of getting our economy moving again. But we have to be smart, because the worst thing we could do is open up in a way that causes a second wave, puts health care workers at further risk, and wipes out all the progress we’ve made."
24448,"We’ve made progress in the fight against #COVID19 in Michigan because of every person who did their part.

Thank you.

That being said, our critical workers have put their lives on the line to save others, & we owe it to them to do whatever we can to stop the spread of the virus."
24449,"[THREAD] Yesterday, I presented the 6 phases of the MI Safe Start Plan to re-engage our economy due to the #COVID19 pandemic. Let’s break it down "
24450,"We are currently in Phase 3, which happened because of each and every one of you who did your part to flatten the curve. Thank you. Stay the course. We’re going to get through this together.

Read more: https://michigan.gov/whitmer/0,9309,7-387-90499_90640-528453--,00.html…"
24451,"Today, I presented the 6 phases of the MI Safe Start Plan to re-engage our economy. This plan was created with the guidance of epidemiologists, business leaders, and labor leaders. As always, our top priority is the health and safety of Michiganders."
24452,"Today, I announced:
 That Michigan’s manufacturing workers will return to work on Monday, May 11th.
 An extension of the Safer at Home order to May 28th.
 The 6 phases of the MI Safe Start Plan to re-engage our economy.

Read more: https://michigan.gov/whitmer/0,9309,7-387-90499_90640-528453--,00.html…"
24453,"ICYMI: My administration, along with 
@MichiganHHS
 and 
@MichiganLEO
, took action to ensure college students can access food assistance. Read more "
24454,Let’s get it done 
24455,"This is good news, but we have to see it through. I’m grateful to everyone who is doing their part to curb the spread of #COVID19. Keep staying safe and staying home — it’s working."
24456,"To our nurses, who are on the frontlines of the #COVID19 crisis — from the bottom of my heart, thank you. #NationalNursesWeek"
24457,"This week, and every week, I am extraordinarily grateful for the persistence, dedication, and excellence of our educators. #TeacherAppreciationWeek"
24458,"Replying to 
@tonibpdtruther
 and 
@gobeheroes"
24459,"I’m proud of the work 
@MichSoS
 is doing to ensure that we protect the health and safety of Michiganders while we exercise our right to vote in upcoming elections."
24460,"Michigan’s Chief Medical Executive, 
@DrKhaldun
, spoke about what our state is experiencing due to the #COVID19 crisis this morning on 
@MeetThePress
. Listen below "
24461,"Read more: https://michigan.gov/whitmer/0,9309,7-387-90499_90640-527845--,00.html…"
24462,"Let me be clear: I will not be making decisions based on an arbitrary timeline or political pressure. I’m not here to play games. My number one priority is the health & safety of Michiganders, and I will continue to work tirelessly to protect both lives & livelihoods."
24463,"The Stay Home, Stay Safe order remains in effect until May 15. It will not be business as usual in Michigan for some time. Michiganders shouldn’t leave their homes unless it’s to run critical errands, engage in safe outdoor activities, or to go to work in a lower-risk field."
24464,"Today, I signed an executive order to allow some previously suspended forms of work that are lower-risk for #COVID19 exposure to resume on May 7. My public health team will be monitoring closely to evaluate the effects of allowing these activities to resume."
24465,"According to Leslie Knope, Ann Perkins is a volunteer nurse in Michigan fighting #COVID19. If you’re also “smart as a whip and cool under pressure,” we’d love to have you. Visit http://Michigan.gov/FightCOVID19 to sign up to volunteer. #ParksAndRec"
24466,"A perfect day in San Antonio to knock on doors & get out the vote for Texas House Representative Steve Allison. ⁦
@stevefortx
⁩

He has cut taxes, funded schools, increased teacher pay & supports law enforcement. 

We were joined by Senator ⁦
@DonnaCampbellTX
⁩"
24467,"Four brilliant constitutional conservative justices making history on the Texas Supreme Court. 

Yesterday I administered the Oath of Office to the newest member—Rebeca Huddle (on the right).

These justices apply the law as written rather than imposing their own agenda."
24468,"Businesses continue to choose Texas for their headquarters.

Texas welcomes the HQ of CBRE--a Fortune 500 company. 

https://bizjournals.com/dallas/news/2020/10/29/cbre-headquarters-relocation-dallas.html… via 
@DallasBizNews"
24469,"Teachers across Texas received pay raises this year as a result of House Bill 3.
 
Teachers with more than 5 years of experience got an average pay raise of over $5,200 & those who’ve taught up to five years got an average pay raise of more than $3,800."
24470,"Today we remember Houston Police Sgt. Harold Preston.

He was killed in the line of duty by an illegal immigrant who had been arrested multiple times & should never have been on the streets of Houston.

We are grateful for Sgt. Preston’s service. He will never be forgotten."
24471,"My office has contacted the Texas Attorney General's office about this video.

An investigation will determine if voter fraud has occurred.

If so, it will be prosecuted.

Voter fraud won't be tolerated in Texas."
24472,"Today I was joined in Houston by leaders of the Texas Senate & House to sign the #BackTheBlue pledge.

We will pass laws that support law enforcement & defund cities that defund police. 

We will keep communities safe.

#txlege"
24473,"21 people from Texas & Louisiana were arrested in Beaumont for human trafficking.

Texas has some of the toughest laws in America that crack down on human trafficking.

We thank local law enforcement for taking action needed to #EndHumanTrafficking."
24474,ACB
24475,"Texas is providing almost $300 million for Public Safety Initiatives across the state.

This includes funding to crack down on gangs & human trafficking & it funds border security efforts and bullet proof resistant vests for police."
24476,"To the contrary it is Biden who is trying to distort his own position on oil.

Time & again he & Democrats have shown hostility to the hardworking men & women who produce the energy we use & who keep America energy independent.

Pres. Trump will ensure jobs for energy workers."
24477,"Texas Republicans passed a law to protect patients with pre-existing conditions from losing access to healthcare insurance.

They also banned costly surprise medical bills.

On healthcare issues Texas Republicans are working for Texas families

#txlege"
24478,"Thanks Texas for the strong support you are showing.
We will continue keeping Texas great.

Do you approve or disapprove of the way Governor Greg Abbott is handing his job as Governor?
 
Approve       54%
Disapprove  34%

Best numbers of anyone polled.

https://uttyler.edu/politicalscience/files/oct2020-rv-codebook-dmn-uttyler-poll.pdf…"
24479,"Excellent news. 

“Tomorrow, we will vote to confirm the next Associate Justice of the Supreme Court.”

America will add a constitutionalist to 
@SCOTUS"
